Trial,FairProb,BiasedProb
1,1.00000,0.00000
2,0.50000,0.50000
3,0.33333,0.66667
4,0.50000,0.75000
5,0.40000,0.60000
6,0.50000,0.66667
7,0.57143,0.57143
8,0.62500,0.50000
9,0.66667,0.55556
10,0.70000,0.50000
11,0.72727,0.54545
12,0.75000,0.58333
13,0.76923,0.61538
14,0.78571,0.57143
15,0.73333,0.60000
16,0.75000,0.62500
17,0.76471,0.58824
18,0.72222,0.61111
19,0.73684,0.63158
20,0.75000,0.65000
21,0.76190,0.66667
22,0.72727,0.68182
23,0.73913,0.69565
24,0.70833,0.70833
25,0.68000,0.72000
26,0.69231,0.73077
27,0.70370,0.70370
28,0.67857,0.71429
29,0.65517,0.72414
30,0.66667,0.73333
31,0.67742,0.74194
32,0.68750,0.75000
33,0.66667,0.75758
34,0.67647,0.76471
35,0.65714,0.77143
36,0.66667,0.77778
37,0.67568,0.75676
38,0.65789,0.76316
39,0.64103,0.74359
40,0.65000,0.75000
41,0.65854,0.75610
42,0.64286,0.76190
43,0.62791,0.74419
44,0.61364,0.75000
45,0.62222,0.75556
46,0.63043,0.76087
47,0.61702,0.76596
48,0.62500,0.75000
49,0.61224,0.75510
50,0.62000,0.76000
51,0.60784,0.76471
52,0.61538,0.76923
53,0.62264,0.77358
54,0.62963,0.77778
55,0.63636,0.78182
56,0.62500,0.78571
57,0.63158,0.78947
58,0.63793,0.79310
59,0.62712,0.79661
60,0.61667,0.78333
61,0.62295,0.78689
62,0.62903,0.79032
63,0.61905,0.79365
64,0.62500,0.79688
65,0.63077,0.80000
66,0.63636,0.78788
67,0.64179,0.77612
68,0.63235,0.77941
69,0.63768,0.78261
70,0.64286,0.78571
71,0.63380,0.78873
72,0.63889,0.79167
73,0.64384,0.78082
74,0.63514,0.77027
75,0.62667,0.76000
76,0.63158,0.76316
77,0.62338,0.76623
78,0.62821,0.76923
79,0.62025,0.77215
80,0.61250,0.77500
81,0.60494,0.77778
82,0.60976,0.76829
83,0.61446,0.75904
84,0.61905,0.76190
85,0.62353,0.75294
86,0.62791,0.75581
87,0.63218,0.75862
88,0.63636,0.75000
89,0.64045,0.75281
90,0.64444,0.75556
91,0.63736,0.74725
92,0.64130,0.75000
93,0.63441,0.74194
94,0.63830,0.74468
95,0.63158,0.74737
96,0.63542,0.75000
97,0.63918,0.74227
98,0.63265,0.74490
99,0.63636,0.73737
100,0.63000,0.73000
101,0.63366,0.73267
102,0.62745,0.73529
103,0.62136,0.73786
104,0.62500,0.73077
105,0.62857,0.73333
106,0.62264,0.73585
107,0.61682,0.73832
108,0.61111,0.74074
109,0.60550,0.74312
110,0.60000,0.74545
111,0.59459,0.74775
112,0.59821,0.74107
113,0.60177,0.73451
114,0.60526,0.73684
115,0.60870,0.73913
116,0.60345,0.74138
117,0.60684,0.74359
118,0.61017,0.73729
119,0.60504,0.73950
120,0.60000,0.73333
121,0.60331,0.73554
122,0.59836,0.73770
123,0.59350,0.73984
124,0.58871,0.74194
125,0.59200,0.74400
126,0.58730,0.74603
127,0.59055,0.74803
128,0.58594,0.75000
129,0.58140,0.75194
130,0.57692,0.75385
131,0.57252,0.75573
132,0.57576,0.75000
133,0.57143,0.75188
134,0.56716,0.75373
135,0.56296,0.75556
136,0.56618,0.75000
137,0.56934,0.74453
138,0.56522,0.74638
139,0.56115,0.74101
140,0.56429,0.73571
141,0.56738,0.73759
142,0.56338,0.73239
143,0.55944,0.73427
144,0.55556,0.73611
145,0.55172,0.73793
146,0.55479,0.73288
147,0.55102,0.73469
148,0.54730,0.73649
149,0.55034,0.73154
150,0.54667,0.73333
151,0.54305,0.73510
152,0.54605,0.73684
153,0.54248,0.73203
154,0.54545,0.73377
155,0.54839,0.73548
156,0.55128,0.73077
157,0.55414,0.72611
158,0.55063,0.72785
159,0.55346,0.72956
160,0.55000,0.73125
161,0.55280,0.73292
162,0.55556,0.73457
163,0.55828,0.73620
164,0.55488,0.73171
165,0.55152,0.73333
166,0.54819,0.73494
167,0.54491,0.73054
168,0.54167,0.73214
169,0.53846,0.73373
170,0.54118,0.72941
171,0.53801,0.73099
172,0.53488,0.73256
173,0.53179,0.73410
174,0.52874,0.73563
175,0.53143,0.73714
176,0.53409,0.73864
177,0.53107,0.74011
178,0.52809,0.74157
179,0.53073,0.73743
180,0.52778,0.73889
181,0.53039,0.74033
182,0.53297,0.74176
183,0.53552,0.74317
184,0.53261,0.74457
185,0.52973,0.74595
186,0.53226,0.74731
187,0.53476,0.74332
188,0.53723,0.73936
189,0.53968,0.74074
190,0.53684,0.74211
191,0.53403,0.73822
192,0.53125,0.73958
193,0.52850,0.74093
194,0.52577,0.73711
195,0.52308,0.73846
196,0.52041,0.73980
197,0.51777,0.73604
198,0.52020,0.73737
199,0.51759,0.73869
200,0.52000,0.74000
201,0.52239,0.74129
202,0.52475,0.74257
203,0.52709,0.73892
204,0.52451,0.74020
205,0.52195,0.74146
206,0.51942,0.74272
207,0.51691,0.74396
208,0.51923,0.74519
209,0.52153,0.74641
210,0.52381,0.74762
211,0.52607,0.74882
212,0.52830,0.75000
213,0.52582,0.75117
214,0.52336,0.75234
215,0.52558,0.75349
216,0.52778,0.75000
217,0.52535,0.75115
218,0.52294,0.75229
219,0.52055,0.75342
220,0.51818,0.75455
221,0.51584,0.75566
222,0.51802,0.75676
223,0.51570,0.75785
224,0.51339,0.75893
225,0.51111,0.76000
226,0.51327,0.75664
227,0.51101,0.75771
228,0.50877,0.75877
229,0.51092,0.75983
230,0.51304,0.75652
231,0.51515,0.75758
232,0.51724,0.75862
233,0.51931,0.75966
234,0.52137,0.76068
235,0.52340,0.75745
236,0.52542,0.75847
237,0.52321,0.75527
238,0.52101,0.75210
239,0.51883,0.74895
240,0.51667,0.75000
241,0.51452,0.74689
242,0.51653,0.74380
243,0.51440,0.74486
244,0.51230,0.74590
245,0.51429,0.74694
246,0.51626,0.74797
247,0.51417,0.74899
248,0.51613,0.74597
249,0.51406,0.74699
250,0.51200,0.74400
251,0.51394,0.74502
252,0.51190,0.74603
253,0.50988,0.74704
254,0.51181,0.74803
255,0.51373,0.74510
256,0.51563,0.74219
257,0.51362,0.74319
258,0.51163,0.74419
259,0.50965,0.74517
260,0.51154,0.74615
261,0.50958,0.74713
262,0.50763,0.74809
263,0.50570,0.74525
264,0.50379,0.74621
265,0.50189,0.74717
266,0.50000,0.74436
267,0.49813,0.74532
268,0.49627,0.74254
269,0.49814,0.74349
270,0.50000,0.74074
271,0.50185,0.74170
272,0.50368,0.74265
273,0.50549,0.74359
274,0.50730,0.74088
275,0.50545,0.73818
276,0.50362,0.73913
277,0.50542,0.73646
278,0.50719,0.73741
279,0.50896,0.73835
280,0.50714,0.73929
281,0.50890,0.74021
282,0.50709,0.73759
283,0.50883,0.73852
284,0.50704,0.73944
285,0.50526,0.74035
286,0.50699,0.74126
287,0.50523,0.73868
288,0.50347,0.73958
289,0.50519,0.74048
290,0.50345,0.73793
291,0.50172,0.73883
292,0.50342,0.73973
293,0.50171,0.73720
294,0.50340,0.73810
295,0.50508,0.73559
296,0.50676,0.73311
297,0.50505,0.73401
298,0.50336,0.73490
299,0.50502,0.73579
300,0.50667,0.73667
301,0.50498,0.73754
302,0.50662,0.73841
303,0.50495,0.73927
304,0.50329,0.73684
305,0.50164,0.73443
306,0.50000,0.73529
307,0.50163,0.73616
308,0.50000,0.73377
309,0.50162,0.73463
310,0.50000,0.73548
311,0.50161,0.73312
312,0.50321,0.73397
313,0.50479,0.73482
314,0.50318,0.73567
315,0.50476,0.73333
316,0.50316,0.73418
317,0.50158,0.73186
318,0.50000,0.73270
319,0.50157,0.73354
320,0.50313,0.73438
321,0.50156,0.73520
322,0.50311,0.73602
323,0.50155,0.73684
324,0.50309,0.73457
325,0.50462,0.73538
326,0.50613,0.73620
327,0.50459,0.73700
328,0.50610,0.73780
329,0.50456,0.73860
330,0.50303,0.73939
331,0.50151,0.74018
332,0.50301,0.73795
333,0.50150,0.73874
334,0.50299,0.73952
335,0.50448,0.74030
336,0.50298,0.74107
337,0.50445,0.74184
338,0.50592,0.74260
339,0.50737,0.74041
340,0.50882,0.74118
341,0.50733,0.73900
342,0.50585,0.73684
343,0.50729,0.73761
344,0.50872,0.73837
345,0.50725,0.73913
346,0.50867,0.73699
347,0.50720,0.73775
348,0.50575,0.73851
349,0.50716,0.73639
350,0.50857,0.73714
351,0.50997,0.73789
352,0.50852,0.73864
353,0.50992,0.73938
354,0.51130,0.74011
355,0.51268,0.73803
356,0.51404,0.73596
357,0.51541,0.73669
358,0.51397,0.73743
359,0.51253,0.73538
360,0.51111,0.73333
361,0.51247,0.73130
362,0.51381,0.73204
363,0.51515,0.73003
364,0.51648,0.73077
365,0.51781,0.72877
366,0.51913,0.72951
367,0.52044,0.73025
368,0.51902,0.73098
369,0.51762,0.72900
370,0.51622,0.72703
371,0.51482,0.72507
372,0.51344,0.72312
373,0.51206,0.72386
374,0.51070,0.72193
375,0.51200,0.72267
376,0.51064,0.72340
377,0.51194,0.72414
378,0.51323,0.72487
379,0.51451,0.72296
380,0.51316,0.72368
381,0.51181,0.72441
382,0.51309,0.72251
383,0.51436,0.72063
384,0.51563,0.72135
385,0.51429,0.72208
386,0.51554,0.72280
387,0.51421,0.72351
388,0.51289,0.72423
389,0.51414,0.72237
390,0.51538,0.72051
391,0.51407,0.72123
392,0.51276,0.71939
393,0.51145,0.72010
394,0.51015,0.71827
395,0.50886,0.71899
396,0.50758,0.71970
397,0.50882,0.71788
398,0.50754,0.71859
399,0.50877,0.71930
400,0.50750,0.72000
401,0.50873,0.71820
402,0.50746,0.71891
403,0.50868,0.71712
404,0.50990,0.71535
405,0.50864,0.71605
406,0.50985,0.71429
407,0.50860,0.71499
408,0.50980,0.71569
409,0.50856,0.71638
410,0.50732,0.71707
411,0.50608,0.71776
412,0.50728,0.71845
413,0.50605,0.71913
414,0.50725,0.71981
415,0.50843,0.71807
416,0.50721,0.71875
417,0.50600,0.71703
418,0.50478,0.71531
419,0.50597,0.71599
420,0.50476,0.71667
421,0.50356,0.71734
422,0.50474,0.71801
423,0.50355,0.71868
424,0.50472,0.71698
425,0.50588,0.71765
426,0.50704,0.71596
427,0.50820,0.71429
428,0.50701,0.71262
429,0.50816,0.71329
430,0.50698,0.71163
431,0.50812,0.71230
432,0.50926,0.71065
433,0.51039,0.71132
434,0.50922,0.71198
435,0.51034,0.71034
436,0.51147,0.71101
437,0.51030,0.71167
438,0.50913,0.71233
439,0.51025,0.71298
440,0.51136,0.71364
441,0.51020,0.71202
442,0.51131,0.71041
443,0.51242,0.71106
444,0.51351,0.70946
445,0.51236,0.71011
446,0.51345,0.70852
447,0.51454,0.70917
448,0.51563,0.70982
449,0.51670,0.71047
450,0.51556,0.71111
451,0.51663,0.71175
452,0.51770,0.71239
453,0.51656,0.71082
454,0.51542,0.71145
455,0.51648,0.71209
456,0.51754,0.71272
457,0.51860,0.71116
458,0.51747,0.71179
459,0.51852,0.71242
460,0.51957,0.71304
461,0.51844,0.71150
462,0.51732,0.71212
463,0.51836,0.71274
464,0.51724,0.71121
465,0.51828,0.70968
466,0.51931,0.71030
467,0.52034,0.71092
468,0.51923,0.71154
469,0.51812,0.71215
470,0.51702,0.71064
471,0.51592,0.70913
472,0.51695,0.70975
473,0.51797,0.71036
474,0.51899,0.71097
475,0.52000,0.71158
476,0.52101,0.71218
477,0.51992,0.71279
478,0.52092,0.71339
479,0.51983,0.71190
480,0.51875,0.71250
481,0.51767,0.71102
482,0.51867,0.71162
483,0.51967,0.71014
484,0.51860,0.71074
485,0.51959,0.71134
486,0.52058,0.71193
487,0.51951,0.71253
488,0.51844,0.71107
489,0.51943,0.71166
490,0.51837,0.71020
491,0.51731,0.71079
492,0.51829,0.70935
493,0.51927,0.70791
494,0.51822,0.70648
495,0.51919,0.70505
496,0.51815,0.70565
497,0.51710,0.70423
498,0.51606,0.70281
499,0.51503,0.70341
500,0.51400,0.70200
501,0.51497,0.70259
502,0.51394,0.70319
503,0.51292,0.70378
504,0.51389,0.70238
505,0.51485,0.70099
506,0.51581,0.70158
507,0.51677,0.70217
508,0.51575,0.70079
509,0.51670,0.70138
510,0.51765,0.70000
511,0.51859,0.69863
512,0.51953,0.69727
513,0.52047,0.69591
514,0.51946,0.69650
515,0.51845,0.69709
516,0.51938,0.69767
517,0.51838,0.69632
518,0.51737,0.69691
519,0.51638,0.69750
520,0.51538,0.69808
521,0.51440,0.69866
522,0.51533,0.69923
523,0.51625,0.69981
524,0.51718,0.70038
525,0.51810,0.70095
526,0.51711,0.70152
527,0.51803,0.70019
528,0.51894,0.70076
529,0.51796,0.69943
530,0.51887,0.70000
531,0.51977,0.70056
532,0.52068,0.69925
533,0.51970,0.69981
534,0.51873,0.69850
535,0.51963,0.69907
536,0.51866,0.69776
537,0.51955,0.69646
538,0.52045,0.69517
539,0.51948,0.69573
540,0.52037,0.69630
541,0.51941,0.69686
542,0.52030,0.69742
543,0.51934,0.69613
544,0.52022,0.69669
545,0.52110,0.69541
546,0.52198,0.69597
547,0.52102,0.69653
548,0.52190,0.69526
549,0.52277,0.69399
550,0.52182,0.69455
551,0.52269,0.69328
552,0.52355,0.69384
553,0.52260,0.69439
554,0.52347,0.69495
555,0.52252,0.69369
556,0.52158,0.69424
557,0.52065,0.69300
558,0.51971,0.69355
559,0.51878,0.69410
560,0.51964,0.69464
561,0.52050,0.69519
562,0.52135,0.69573
563,0.52220,0.69627
564,0.52305,0.69504
565,0.52389,0.69558
566,0.52297,0.69611
567,0.52205,0.69665
568,0.52113,0.69542
569,0.52197,0.69420
570,0.52105,0.69474
571,0.52189,0.69527
572,0.52098,0.69406
573,0.52007,0.69459
574,0.51916,0.69512
575,0.51826,0.69565
576,0.51736,0.69618
577,0.51820,0.69671
578,0.51730,0.69550
579,0.51641,0.69603
580,0.51552,0.69655
581,0.51463,0.69707
582,0.51546,0.69759
583,0.51630,0.69811
584,0.51541,0.69863
585,0.51453,0.69915
