n,ProbabilityDuplicate,AvgTimeSeconds
20,0.0100,0.00000000
40,0.0350,0.00000000
60,0.0850,0.00000000
80,0.0700,0.00000000
100,0.1450,0.00002000
120,0.1850,0.00000000
140,0.2350,0.00001000
160,0.3250,0.00000000
180,0.3750,0.00000000
200,0.4550,0.00000000
220,0.5800,0.00000000
240,0.5750,0.00000000
260,0.6750,0.00000000
280,0.6400,0.00007000
300,0.7400,0.00002500
320,0.8050,0.00002000
340,0.8100,0.00000000
360,0.8700,0.00003000
380,0.9150,0.00003500
400,0.8900,0.00000000
420,0.9400,0.00003000
440,0.9350,0.00002500
460,0.9550,0.00001500
480,0.9850,0.00005500
500,0.9900,0.00003000
520,0.9900,0.00003500
540,0.9900,0.00003000
560,0.9950,0.00004000
580,1.0000,0.00003500
600,0.9950,0.00003500
620,1.0000,0.00004500
640,0.9900,0.00003500
660,1.0000,0.00000000
680,1.0000,0.00002500
700,0.9950,0.00006500
720,1.0000,0.00001000
740,1.0000,0.00008000
760,1.0000,0.00000000
780,1.0000,0.00009500
800,1.0000,0.00004500
820,1.0000,0.00003500
840,1.0000,0.00006500
860,1.0000,0.00001000
880,1.0000,0.00004500
900,1.0000,0.00006000
920,1.0000,0.00003000
940,1.0000,0.00002500
960,1.0000,0.00006500
980,1.0000,0.00007000
1000,1.0000,0.00003000
