N,Data_Structure,Time_Insert,Time_Search,Time_Max,Time_Min,Time_Pred,Time_Succ,Time_Delete
1000,Unsorted_Array,0.000000,0.000000,0.000000,0.005000,0.000000,0.000000,0.000000
1000,Sorted_Array,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000,SLL_Unsorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000
1000,SLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000,DLL_Unsorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000,DLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2000,Unsorted_Array,0.000000,0.016000,0.000000,0.000000,0.000000,0.016000,0.000000
2000,Sorted_Array,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2000,SLL_Unsorted,0.000000,0.016000,0.000000,0.000000,0.017000,0.016000,0.000000
2000,SLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000
2000,DLL_Unsorted,0.000000,0.000000,0.000000,0.015000,0.000000,0.023000,0.000000
2000,DLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4000,Unsorted_Array,0.000000,0.012000,0.000000,0.013000,0.048000,0.048000,0.000000
4000,Sorted_Array,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4000,SLL_Unsorted,0.000000,0.027000,0.016000,0.032000,0.048000,0.048000,0.016000
4000,SLL_Sorted,0.016000,0.000000,0.031000,0.000000,0.000000,0.000000,0.017000
4000,DLL_Unsorted,0.000000,0.042000,0.034000,0.038000,0.076000,0.079000,0.000000
4000,DLL_Sorted,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8000,Unsorted_Array,0.000000,0.043000,0.046000,0.032000,0.161000,0.176000,0.000000
8000,Sorted_Array,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033000
8000,SLL_Unsorted,0.000000,0.094000,0.097000,0.096000,0.220000,0.209000,0.048000
8000,SLL_Sorted,0.048000,0.000000,0.192000,0.000000,0.098000,0.000000,0.093000
8000,DLL_Unsorted,0.000000,0.111000,0.112000,0.112000,0.405000,1.039000,0.000000
8000,DLL_Sorted,0.306000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000,Unsorted_Array,0.000000,0.357000,0.528000,0.430000,1.343000,0.687000,0.000000
10000,Sorted_Array,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068000
10000,SLL_Unsorted,0.000000,0.202000,0.239000,0.227000,0.409000,0.772000,0.443000
10000,SLL_Sorted,0.489000,0.000000,0.859000,0.000000,0.287000,0.000000,0.333000
10000,DLL_Unsorted,0.000000,0.272000,0.161000,0.174000,0.384000,1.291000,0.000000
10000,DLL_Sorted,0.512000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000
